stationid,surveyyear,sampledate,stationdepth,labname,labsampleid
B08-7099,2008,2008/07/15 07:00:00+00,526,NULL,NULL
B08-6047,2008,2008/08/22 07:00:00+00,4,NULL,NULL
B08-7461,2008,2008/07/09 07:00:00+00,49,NULL,NULL
B08-7238,2008,2008/07/15 07:00:00+00,468,NULL,NULL
B08-7029,2008,2008/07/21 07:00:00+00,150,NULL,NULL
B08-7527,2008,2008/09/09 07:00:00+00,42,NULL,NULL
B08-7009,2008,2008/07/08 07:00:00+00,57,NULL,NULL
B08-7617,2008,2008/07/28 07:00:00+00,407,NULL,NULL
B08-6025,2008,2008/08/22 07:00:00+00,3,NULL,NULL
B08-6128,2008,2008/08/20 07:00:00+00,14,NULL,NULL
B08-7296,2008,2008/07/16 07:00:00+00,610,NULL,NULL
B08-7200,2008,2008/07/16 07:00:00+00,836,NULL,NULL
B08-7231,2008,2008/07/15 07:00:00+00,15,NULL,NULL
B08-6223,2008,2008/08/05 07:00:00+00,1,NULL,NULL
B08-6560,2008,2008/09/03 07:00:00+00,4,NULL,NULL
B08-7586,2008,2008/09/12 07:00:00+00,110,NULL,NULL
B08-7069,2008,2008/07/17 07:00:00+00,412,NULL,NULL
B08-7585,2008,2008/09/12 07:00:00+00,93,NULL,NULL
B08-7165,2008,2008/07/15 07:00:00+00,140,NULL,NULL
B08-7080,2008,2008/07/17 07:00:00+00,466,NULL,NULL
B08-6250,2008,2008/07/29 07:00:00+00,0,NULL,NULL
B08-6192,2008,2008/07/11 07:00:00+00,0,NULL,NULL
B08-7709,2008,2008/07/26 07:00:00+00,295,NULL,NULL
B08-7654,2008,2008/07/25 07:00:00+00,158,NULL,NULL
B08-6211,2008,2008/08/05 07:00:00+00,2,NULL,NULL
B08-6153,2008,2008/08/06 07:00:00+00,5,NULL,NULL
B08-6010,2008,2008/07/16 07:00:00+00,0,NULL,NULL
B08-6436,2008,2008/09/11 07:00:00+00,8,NULL,NULL
B08-6466,2008,2008/07/29 07:00:00+00,23,NULL,NULL
B08-7166,2008,2008/07/15 07:00:00+00,63,NULL,NULL
B08-7215,2008,2008/07/15 07:00:00+00,25,NULL,NULL
